"id","pollingfirm","poll_date","n","party_a","party_o","party_v","party_aa","party_a_res","party_o_res","party_v_res","party_aa_res"
1245,"Voxmeter",2019-01-06,1048,25.8,17.7,19.1,3.7,25.9,8.7,23.4,3
1246,"Voxmeter",2019-01-12,1027,26.4,18.2,17.9,3.8,25.9,8.7,23.4,3
1247,"Voxmeter",2019-01-20,1032,26.9,17.8,18.3,3.6,25.9,8.7,23.4,3
1252,"YouGov",2019-01-14,1917,23.8,15.9,17.7,4,25.9,8.7,23.4,3
1253,"Voxmeter",2019-01-27,1039,28.1,16.8,18.9,3.7,25.9,8.7,23.4,3
1255,"Voxmeter",2019-02-03,1045,27.5,16.2,18.4,3.2,25.9,8.7,23.4,3
1258,"Voxmeter",2019-02-09,1032,28.3,15.8,17.9,3.7,25.9,8.7,23.4,3
1259,"YouGov",2019-02-10,1711,27.3,15,15.7,4.1,25.9,8.7,23.4,3
1260,"Voxmeter",2019-02-17,1022,29,15.4,18.1,4.1,25.9,8.7,23.4,3
1261,"Voxmeter",2019-02-24,1032,28.1,14.8,18.6,3.7,25.9,8.7,23.4,3
1264,"Voxmeter",2019-03-03,1043,28,14.6,18.1,4.3,25.9,8.7,23.4,3
1266,"Voxmeter",2019-03-09,1037,28.6,14.2,18.6,4.3,25.9,8.7,23.4,3
1268,"Voxmeter",2019-03-17,1062,27.7,14.6,18.9,3.6,25.9,8.7,23.4,3
1269,"Voxmeter",2019-03-24,1044,28.1,15.1,19.3,3.4,25.9,8.7,23.4,3
1273,"Voxmeter",2019-03-31,1056,28.7,15.4,18.7,4,25.9,8.7,23.4,3
1274,"YouGov",2019-03-03,1738,26.7,15.5,15.9,4.2,25.9,8.7,23.4,3
1276,"YouGov",2019-03-31,1671,26.5,12.1,17.4,4.2,25.9,8.7,23.4,3
1277,"Voxmeter",2019-04-07,1030,27.9,14.8,18.3,3.4,25.9,8.7,23.4,3
1280,"Voxmeter",2019-04-13,1023,28.5,14,18.8,2.9,25.9,8.7,23.4,3
1282,"Voxmeter",2019-04-21,1031,28.9,15,19,3.1,25.9,8.7,23.4,3
1283,"Voxmeter",2019-04-28,1021,27.9,13.6,19.2,3.7,25.9,8.7,23.4,3
1284,"YouGov",2019-04-29,1890,25.8,12.2,17.6,3.8,25.9,8.7,23.4,3
1286,"YouGov",2019-05-03,1656,23,11.2,17.1,3.4,25.9,8.7,23.4,3
1287,"Voxmeter",2019-05-05,1045,27.5,12.2,19.4,3.2,25.9,8.7,23.4,3
1291,"YouGov",2019-05-07,983,24.9,11,17.1,5.1,25.9,8.7,23.4,3
1292,"YouGov",2019-05-08,983,24.2,11.2,17.1,3.4,25.9,8.7,23.4,3
1293,"YouGov",2019-05-09,983,26.5,10.8,17.4,4.7,25.9,8.7,23.4,3
1294,"Voxmeter",2019-05-09,1011,27.9,11.3,19.8,2.8,25.9,8.7,23.4,3
1297,"YouGov",2019-05-10,1092,27.5,11.1,17.4,4.9,25.9,8.7,23.4,3
1298,"Voxmeter",2019-05-10,1012,27.7,11.8,19.7,3.1,25.9,8.7,23.4,3
1299,"YouGov",2019-05-11,1041,27.7,11.8,17.5,4.3,25.9,8.7,23.4,3
