"cname","male","age","edu","income","unemployed","lrscale","post_attack","eu5","imm7"
"Germany",1,67,7,10,0,7,0,6,6
"Germany",1,70,5,1,0,4,0,8,5
"Germany",0,17,2,5,0,0,0,8,6
"Germany",0,33,2,4,0,6,0,5,4
"Germany",0,53,3,7,0,0,0,8,10
"Germany",1,80,6,6,0,3,0,6,6
"Germany",0,50,6,8,0,4,0,9,6
"Germany",0,61,3,4,0,5,0,4,1
"Germany",0,32,5,2,0,3,0,5,7
"Germany",1,17,2,9,0,7,0,7,5
"Germany",0,53,6,10,0,3,0,10,10
"Germany",1,76,5,7,0,5,0,10,8
"Germany",1,49,7,9,0,3,1,8,7
"Germany",0,22,2,3,0,3,0,5,5
"Germany",0,52,7,10,0,2,1,5,6
"Germany",1,55,5,4,0,5,0,9,5
"Germany",1,18,2,8,0,5,0,6,6
"Germany",0,65,6,2,0,5,0,9,7
"Germany",0,17,2,8,0,4,0,7,9
"Germany",1,20,3,7,0,3,1,5,5
"Germany",1,54,6,8,0,3,1,9,6
"Germany",1,40,3,7,0,0,1,5,9
"Germany",1,55,3,8,0,3,1,8,8
"Germany",0,28,3,10,0,5,1,10,7
"Germany",1,24,3,5,0,5,1,4,7
"Germany",0,32,3,4,0,5,1,3,7
"Germany",1,41,5,1,1,2,1,9,8
"Germany",1,31,6,8,0,4,1,1,2
"Germany",0,69,3,1,0,5,0,8,7
"Germany",1,47,3,10,0,6,0,7,8
"Germany",0,40,2,4,0,7,0,4,3
"Germany",0,42,7,10,0,7,0,10,6
"Germany",0,45,6,6,0,7,0,9,3
"Germany",1,43,5,9,0,3,0,7,7
"Germany",1,61,3,4,0,7,0,8,7
"Germany",1,29,7,9,0,6,1,6,5
"Germany",1,15,1,7,0,3,1,6,8
"Germany",1,66,6,9,0,5,0,5,10
"Germany",1,65,5,4,0,6,1,7,5
"Germany",1,36,6,7,0,4,0,5,3
"Germany",0,16,2,2,0,5,0,8,9
"Germany",1,94,3,4,0,4,0,2,8
"Germany",1,59,6,9,0,5,0,9,8
"Germany",1,44,7,9,0,5,0,7,5
"Germany",1,88,5,9,0,7,0,10,5
"Germany",0,48,1,5,0,5,0,4,7
"Germany",1,31,6,8,0,2,0,5,10
"Germany",1,79,3,2,0,5,0,5,5
"Germany",1,46,3,9,1,3,1,10,5
"Germany",0,27,1,1,0,7,0,4,7
"Germany",1,27,2,1,0,5,1,5,5
"Germany",0,52,7,9,0,3,0,5,10
"Germany",0,20,4,7,0,0,1,4,5
"Germany",0,53,6,7,0,0,1,6,9
"Germany",0,58,7,9,0,5,0,8,6
"Germany",1,28,6,5,0,7,0,5,6
"Germany",0,51,5,6,0,5,0,10,9
"Germany",0,76,3,6,0,10,0,5,5
"Germany",0,32,7,10,0,4,0,9,7
"Germany",1,73,2,10,0,1,1,4,5
"Germany",1,33,3,4,0,3,0,5,0
"Germany",1,36,3,3,0,6,0,1,1
"Germany",0,61,7,10,0,5,0,7,8
"Germany",0,22,5,5,0,5,0,5,8
"Germany",1,51,5,7,0,3,0,10,10
"Germany",1,46,7,9,0,6,0,7,4
"Germany",1,55,6,10,0,4,0,2,6
"Germany",1,45,7,9,0,6,0,5,5
"Germany",0,61,3,3,0,5,0,3,2
"Germany",0,64,3,2,0,8,0,6,7
"Germany",1,70,6,6,0,5,0,0,8
"Germany",0,55,3,7,0,5,1,8,7
"Germany",0,57,5,3,0,4,0,6,7
"Germany",1,35,5,7,0,5,0,7,7
"Germany",1,55,5,4,0,5,1,5,3
"Germany",1,27,6,2,0,3,0,10,8
"Germany",0,53,3,10,0,5,0,5,7
"Germany",0,17,2,8,0,8,0,7,7
"Germany",0,38,2,3,0,5,0,8,7
"Germany",0,67,3,3,0,5,1,6,5
"Germany",1,33,7,5,0,2,0,8,8
"Germany",1,68,5,2,0,5,0,0,5
"Germany",1,44,3,9,0,7,1,10,8
"Germany",1,23,3,9,0,6,0,6,0
"Germany",1,25,5,6,0,5,0,7,7
"Germany",0,35,3,5,0,5,0,3,0
"Germany",0,26,7,8,0,2,1,5,6
"Germany",0,23,4,5,0,5,0,8,7
"Germany",1,52,6,10,0,4,1,9,7
"Germany",1,68,3,5,0,3,1,8,4
"Germany",1,66,5,10,0,2,1,4,7
"Germany",1,51,5,7,0,5,0,7,7
"Germany",1,30,3,6,0,4,1,3,5
"Germany",1,76,3,2,0,7,1,5,4
"Germany",0,21,4,7,0,4,1,5,7
"Germany",1,38,2,2,0,5,1,5,8
"Germany",1,66,7,7,0,4,0,5,5
"Germany",0,61,5,7,0,5,1,5,5
"Germany",1,58,5,10,0,5,0,6,3
"Germany",1,40,7,10,0,5,0,7,5
"Germany",0,17,2,6,0,3,0,6,5
"Germany",0,36,5,5,0,5,0,1,2
"Germany",1,22,4,5,0,3,1,5,8
"Germany",1,31,3,6,0,6,0,1,3
"Germany",0,28,3,4,0,4,1,4,4
"Germany",1,53,5,10,0,2,0,2,8
"Germany",0,32,7,5,0,4,0,9,5
"Germany",0,30,3,3,0,5,0,3,3
"Germany",1,47,3,8,0,8,1,7,0
"Germany",0,37,3,9,0,5,0,7,7
"Germany",0,44,5,7,0,5,1,4,3
"Germany",0,59,7,8,0,3,1,9,5
"Germany",0,76,3,7,0,8,0,4,8
"Germany",1,76,3,1,0,2,0,2,9
"Germany",0,40,7,5,0,5,1,10,9
"Germany",1,36,3,1,0,5,1,6,5
"Germany",1,38,5,10,0,5,1,9,7
"Germany",1,26,2,4,0,5,0,7,10
"Germany",1,55,5,8,0,5,0,8,5
"Germany",0,41,5,8,0,4,0,6,10
"Germany",0,39,7,7,0,3,1,8,9
"Germany",1,47,3,7,0,4,1,10,6
"Germany",1,22,4,10,0,3,0,4,6
"Germany",1,55,3,4,0,8,0,7,8
"Germany",0,30,5,5,0,4,0,7,8
"Germany",1,44,3,9,0,5,0,4,5
"Germany",1,50,3,9,0,5,1,3,6
"Germany",1,69,3,4,0,5,0,10,8
"Germany",0,66,5,5,0,5,0,7,5
"Germany",1,39,3,6,0,7,0,8,7
"Germany",1,44,6,3,1,5,0,0,2
"Germany",0,43,5,6,0,3,0,2,8
"Germany",1,53,5,7,0,5,0,6,8
"Germany",0,57,3,10,0,3,0,10,9
"Germany",0,21,5,10,0,5,0,8,8
"Germany",1,28,3,1,1,5,1,10,3
"Germany",1,69,5,4,0,6,0,5,9
"Germany",0,49,6,9,1,6,0,6,4
"Germany",1,59,3,3,0,4,0,10,8
"Germany",1,52,7,8,0,7,0,2,8
"Germany",1,39,3,10,0,6,0,6,4
"Germany",0,51,3,9,0,5,0,5,1
"Germany",1,36,3,6,0,5,0,1,8
"Germany",1,37,7,5,0,4,0,10,10
"Germany",0,45,3,1,0,7,0,5,8
"Germany",0,36,7,10,0,6,0,5,5
"Germany",0,17,1,9,0,3,1,6,7
"Germany",0,25,7,10,0,4,1,9,8
"Germany",0,32,7,10,0,3,0,8,4
"Germany",0,62,7,4,0,2,0,8,8
"Germany",1,65,5,10,0,8,0,8,2
"Germany",1,27,3,10,0,5,0,4,9
"Germany",0,70,3,8,0,5,0,8,3
"Germany",0,19,2,10,0,5,0,6,2
"Germany",1,16,2,7,0,6,0,7,8
"Germany",0,42,5,8,0,5,0,6,5
"Germany",1,23,5,2,0,3,0,3,7
"Germany",0,67,3,2,0,2,0,5,7
"Germany",0,34,3,7,0,5,0,6,4
"Germany",1,44,4,10,0,3,1,10,7
"Germany",1,27,3,10,0,1,0,6,8
"Germany",0,40,5,9,0,3,0,5,5
"Germany",1,35,6,10,0,5,0,10,7
"Germany",0,34,5,6,0,2,1,8,9
"Germany",1,54,7,8,0,3,0,7,3
"Germany",1,28,5,3,0,3,1,10,8
"Germany",1,27,5,7,0,7,0,3,2
"Germany",0,77,3,2,0,5,0,4,4
"Germany",1,20,3,10,0,5,0,8,7
"Germany",1,20,2,4,0,6,0,4,4
"Germany",0,48,5,10,0,0,0,7,5
"Germany",1,49,5,9,0,5,0,7,5
"Germany",0,50,3,6,0,2,0,7,6
"Germany",0,49,3,3,0,3,0,6,4
"Germany",1,30,3,3,0,8,1,0,5
"Germany",0,21,2,7,1,3,0,2,4
"Germany",1,40,3,1,0,5,1,10,6
"Germany",1,16,2,6,0,4,0,8,6
"Germany",1,18,2,7,0,6,0,6,5
"Germany",1,50,6,10,0,7,0,6,6
"Germany",1,47,3,10,0,6,0,1,8
"Germany",0,75,3,3,0,3,0,4,7
"Germany",0,41,6,5,0,3,0,10,8
"Germany",1,48,5,4,0,3,1,7,7
"Germany",1,28,6,1,0,7,0,7,8
"Germany",0,17,2,8,0,3,0,7,7
"Germany",1,75,5,3,0,5,0,5,5
"Germany",0,26,7,10,0,5,0,10,10
"Germany",0,20,5,8,0,7,0,8,8
"Germany",1,34,6,7,0,4,0,6,9
"Germany",0,65,3,5,0,4,0,1,2
"Germany",1,35,7,2,0,3,0,5,7
"Germany",1,60,7,3,0,3,0,8,6
"Germany",1,22,3,4,0,5,0,3,5
"Germany",0,20,4,9,0,7,0,10,5
"Germany",1,65,5,5,0,2,0,2,3
"Germany",1,59,6,10,0,7,0,8,7
"Germany",1,44,7,1,1,7,0,2,2
"Germany",0,44,7,9,0,4,0,3,7
"Germany",0,29,3,4,0,5,0,5,5
"Germany",1,50,3,8,0,3,0,2,5
"Germany",1,46,7,7,0,6,0,4,4
"Germany",1,25,4,2,0,5,0,5,10
"Germany",0,82,1,2,0,4,1,8,6
"Germany",1,63,7,4,0,0,0,0,4
"Germany",1,23,6,2,0,4,0,5,8
"Germany",0,16,1,6,0,4,0,4,8
"Germany",0,66,3,4,0,5,0,5,5
"Germany",0,48,3,5,0,3,0,3,7
"Germany",1,52,5,10,0,5,0,8,6
"Germany",0,57,3,2,1,3,0,3,6
"Germany",0,51,3,3,0,5,0,2,6
"Germany",1,33,3,4,0,8,0,1,5
"Germany",1,52,3,6,0,2,0,3,7
"Germany",1,36,3,9,0,6,0,6,3
"Germany",1,32,2,7,0,6,0,4,2
"Germany",0,54,5,6,0,5,0,6,1
"Germany",1,26,5,2,0,3,0,9,8
"Germany",0,49,3,10,0,4,0,7,8
"Germany",0,38,5,5,0,2,0,5,7
"Germany",1,66,7,2,0,1,0,2,5
"Germany",1,64,5,7,0,0,0,10,8
"Germany",0,73,6,6,0,5,0,9,7
"Germany",1,62,3,5,0,5,0,7,7
"Germany",0,50,7,5,0,3,0,6,8
"Germany",1,37,3,4,0,5,1,6,5
"Germany",0,76,3,4,0,2,1,7,5
"Germany",0,38,3,6,0,5,0,5,4
"Germany",0,29,3,2,1,5,0,4,5
"Germany",1,55,3,7,0,5,1,4,5
"Germany",0,58,3,2,0,3,0,4,7
"Germany",1,72,3,4,0,5,0,4,3
"Germany",0,23,3,6,0,5,0,5,4
"Germany",1,17,2,1,0,7,0,4,2
"Germany",1,74,3,3,0,5,0,4,3
"Germany",0,56,3,7,0,3,0,10,2
"Germany",1,78,3,7,0,3,0,10,7
"Germany",1,36,5,8,0,6,0,10,5
"Germany",1,79,3,5,0,3,0,6,6
"Germany",0,38,3,3,0,3,0,5,5
"Germany",1,19,2,8,0,5,1,6,4
"Germany",0,72,7,5,0,0,0,10,8
"Germany",1,24,5,1,0,3,1,9,7
"Germany",0,37,3,7,0,5,0,3,4
"Germany",1,48,7,9,0,3,0,3,4
"Germany",0,17,1,6,0,5,1,7,5
"Germany",0,34,5,7,0,5,0,7,5
"Germany",1,48,6,5,0,4,0,9,7
"Germany",0,51,6,10,0,2,0,3,5
"Germany",0,50,6,3,0,5,0,3,2
"Germany",0,48,3,9,0,5,0,5,4
"Germany",0,74,3,2,0,5,0,0,2
"Germany",0,39,5,4,0,5,1,1,2
"Germany",0,37,5,4,0,4,0,2,0
"Germany",0,36,7,4,0,3,0,0,1
